GS.WDT.2008215000000.BHN|[]
XX.QCH.2008203000000.BHE|[[103015, 104315], [128615, 132815], [134140, 136315], [160170, 162845], [221980, 223205], [237635, 239310], [240230, 242730], [265070, 270295], [334315, 336390], [388975, 392400], [405200, 407875], [431365, 435165], [435195, 436345], [437635, 441560], [483315, 488340], [530100, 531125], [549900, 552650], [575775, 577400], [593225, 597025], [664170, 666095], [687380, 689030], [695295, 696395], [701380, 702580], [763455, 766130], [774815, 777490], [837525, 839050], [900780, 906480], [980940, 1002140], [1138510, 1139760], [1271760, 1273610], [1345780, 1346880], [1416625, 1419575], [1461385, 1462985], [1572320, 1573370], [1574460, 1576260], [1587465, 1591065], [1608480, 1609955], [1636915, 1640690], [1699245, 1701045], [1840150, 1841825], [1842310, 1846035], [1955715, 1959315], [2007365, 2011090], [2042745, 2054220], [2112275, 2116750], [2155910, 2157635], [2162085, 2164285], [2237985, 2239560], [2240265, 2242265], [2259325, 2261025], [2262735, 2268185], [2318205, 2319805], [2341770, 2347670], [2387060, 2393135], [2445395, 2446645], [2492535, 2493535], [2621595, 2622920], [2673980, 2676405], [2710905, 2717680], [2741150, 2746175], [2772920, 2774520], [2793555, 2797380], [2801090, 2802640], [2826885, 2828985], [2855095, 2857445], [2961240, 2964265], [2971270, 2972970], [3090750, 3092500], [3130810, 3131960], [3139725, 3144250], [3147190, 3151090], [3158025, 3163925], [3193005, 3201680], [3310850, 3311825], [3320535, 3324885], [3343440, 3346215], [3346265, 3348340], [3369105, 3372505], [3407065, 3408190], [3423445, 3426945], [3430205, 3432630], [3476375, 3477625], [3479970, 3483070], [3520005, 3521705], [3564915, 3566465], [3653880, 3654980], [3890210, 3892060], [3973000, 3975250], [3994000, 3997825], [4044130, 4045230], [4131575, 4134500], [4307350, 4308425], [4319040, 4322565], [4327180, 4329005], [4355060, 4356885], [4588780, 4590805], [4612535, 4615760], [4615790, 4620840], [4630925, 4633075], [4649915, 4656015], [4876145, 4877145], [4925065, 4928090], [5044365, 5050240], [5067105, 5068105], [5072695, 5074145], [5105700, 5107775], [5192770, 5195645], [5444685, 5448135], [5507105, 5509880], [5528880, 5530930], [5592080, 5594505], [5612795, 5615420], [5777295, 5778645], [5926185, 5927160], [6094210, 6095260], [6143490, 6147565], [6232650, 6235150], [6321825, 6324800], [6327420, 6330970], [6494630, 6499105], [6611955, 6613555], [6649425, 6652300], [6659075, 6660575], [6699195, 6703920], [6737715, 6738890], [6740145, 6743570], [6776395, 6779295], [6794845, 6796070], [7097205, 7099530], [7191995, 7193670], [7199050, 7200050], [7229670, 7231195], [7340760, 7341785], [7466340, 7468315], [7468625, 7469700], [7497790, 7499140], [7582045, 7587445], [7611620, 7614470], [7683500, 7685325], [7686065, 7692290], [7715130, 7716105], [7781595, 7782920], [7815910, 7822760], [7839570, 7847145], [7872775, 7876025], [7925595, 7926595], [7927035, 7931585], [7936630, 7937630], [7982560, 7983735], [8039700, 8043575], [8148530, 8153455], [8186700, 8188000], [8206740, 8209165], [8232990, 8238765], [8297190, 8298365], [8306770, 8307795], [8358815, 8359990], [8398120, 8400895], [8537150, 8538150], [8604820, 8608845], [8636220, 8639995]]
XX.WCH.2008202000000.BHN|[]
XX.SPA.2008204000000.BHN|[[419575, 429450], [820770, 822620], [1309580, 1313230], [2036890, 2037890], [2795995, 2797020], [2846605, 2849355], [3223940, 3229090], [3283875, 3284925], [3329620, 3331870], [4902785, 4910460], [7066230, 7073105], [7089955, 7093805], [7106935, 7113610], [7629630, 7636305], [7660720, 7667695], [8461170, 8464920]]
XX.PWU.2008203000000.BHZ|[[20455, 23230], [43155, 45055], [103370, 105670], [124115, 127590], [129420, 134395], [134440, 137665], [160180, 163680], [174480, 177980], [237620, 239870], [240910, 243610], [265540, 271340], [388110, 393510], [404475, 409225], [431230, 435530], [438645, 442195], [483500, 489750], [530175, 532450], [549650, 553825], [575685, 578485], [592425, 597175], [611470, 613845], [698310, 699735], [701380, 704180], [760915, 762515], [837995, 839995], [901215, 907390], [914765, 918165], [1191440, 1194965], [1344830, 1347805], [1417675, 1421425], [1458130, 1461830], [1588520, 1592245], [1606210, 1610710], [1636870, 1643070], [1666785, 1670860], [1760295, 1761620], [1841880, 1847405], [1954815, 1960065], [1980365, 1982740], [2008130, 2012480], [2042010, 2053935], [2087645, 2091020], [2110025, 2112700], [2112980, 2117980], [2128970, 2129970], [2156350, 2159150], [2163080, 2166130], [2166770, 2169270], [2239595, 2244420], [2263220, 2269470], [2295550, 2297275], [2318650, 2321225], [2341580, 2349130], [2387365, 2391215], [2459340, 2460815], [2495230, 2497130], [2523980, 2525280], [2647325, 2649575], [2674345, 2677445], [2710305, 2719155], [2740360, 2746585], [2809005, 2810680], [2862745, 2864120], [2876205, 2878005], [2961615, 2964790], [2969855, 2972755], [3090005, 3093705], [3131460, 3133510], [3140435, 3145510], [3147605, 3151580], [3157420, 3162720], [3192220, 3202545], [3311150, 3313150], [3315145, 3318120], [3319660, 3324885], [3369965, 3372990], [3407095, 3409470], [3422830, 3427205], [3430480, 3434105], [3449765, 3453490], [3479105, 3483330], [3547790, 3549090], [3771655, 3780055], [3806345, 3811370], [3823910, 3827735], [3916660, 3918385], [3973740, 3976015], [3993250, 3999050], [4045755, 4047955], [4130695, 4135245], [4213675, 4216250], [4318715, 4323165], [4327710, 4330060], [4330600, 4333150], [4353485, 4357510], [4453585, 4455210], [4585620, 4587520], [4587715, 4591815], [4613590, 4622540], [4630890, 4634165], [4650700, 4656625], [4799520, 4800720], [4922930, 4927705], [5043460, 5050385], [5106135, 5108885], [5193785, 5197535], [5257820, 5260070], [5336000, 5337950], [5445345, 5449195], [5485410, 5489285], [5508115, 5511390], [5529480, 5532080], [5592295, 5595295], [5610925, 5615650], [5673555, 5676880], [5779200, 5783775], [5884965, 5886840], [5893910, 5894885], [5927550, 5933275], [5991960, 5994410], [5999740, 6000840], [6053525, 6055250], [6142570, 6147220], [6321785, 6326735], [6326785, 6332010], [6444970, 6446495], [6490605, 6492105], [6495620, 6500020], [6612690, 6614615], [6621765, 6624265], [6650105, 6653930], [6659615, 6661815], [6699615, 6704740], [6738410, 6744635], [6776430, 6780705], [7097720, 7100895], [7462750, 7465350], [7466420, 7470570], [7498480, 7500805], [7505245, 7506345], [7582625, 7589450], [7597130, 7598855], [7612015, 7615565], [7683755, 7692330], [7781895, 7784670], [7816930, 7823430], [7839485, 7847035], [7873675, 7876700], [7926675, 7932800], [7935695, 7938645], [8029215, 8031540], [8040030, 8045530], [8048585, 8049710], [8059945, 8065120], [8148455, 8155105], [8207445, 8210470], [8233835, 8240085], [8256885, 8259485], [8297640, 8299490], [8345445, 8348995], [8358440, 8361390], [8443960, 8444985], [8542365, 8544015], [8567200, 8568400], [8604895, 8609945], [8637315, 8639990]]
XX.QCH.2008203000000.BHN|[[126350, 127375], [128595, 132845], [134180, 135955], [160185, 161885], [182665, 184515], [194140, 195440], [211280, 212430], [222000, 223450], [235890, 237015], [237400, 242700], [249140, 250490], [253055, 254105], [254490, 255590], [259260, 260810], [265075, 269325], [334295, 335645], [376765, 378165], [389095, 391520], [405220, 407795], [431745, 434545], [434595, 435945], [437645, 440645], [483445, 488495], [527865, 528890], [550280, 551930], [575745, 576845], [594385, 596735], [683170, 684345], [687380, 689455], [695145, 696420], [708380, 709480], [763420, 766470], [774895, 777695], [834880, 835955], [848655, 849680], [900785, 905485], [964105, 965530], [980720, 1005695], [1009015, 1011690], [1017705, 1018930], [1049590, 1050590], [1070020, 1071420], [1076705, 1077905], [1098875, 1099900], [1138510, 1139585], [1271800, 1273325], [1345855, 1347605], [1416625, 1419025], [1443610, 1444885], [1461415, 1463340], [1531730, 1533280], [1555110, 1556085], [1556365, 1557390], [1560105, 1561330], [1572655, 1573630], [1573845, 1576095], [1587480, 1591055], [1636920, 1640620], [1667410, 1670560], [1840130, 1841655], [1842315, 1844815], [1887495, 1888720], [1955765, 1958790], [2007385, 2010460], [2042760, 2050385], [2050420, 2053895], [2112750, 2116000], [2155920, 2157120], [2162075, 2163950], [2237990, 2238965], [2240695, 2242270], [2259330, 2260505], [2262690, 2268090], [2275775, 2278000], [2318320, 2319370], [2341750, 2347225], [2387065, 2393815], [2426050, 2427275], [2445405, 2446505], [2450050, 2451425], [2469460, 2471135], [2475245, 2476470], [2552215, 2553265], [2605000, 2606625], [2606665, 2607815], [2621530, 2622630], [2674000, 2676200], [2710875, 2718100], [2741175, 2745975], [2772895, 2774270], [2794055, 2795230], [2804465, 2805840], [2805875, 2808775], [2826840, 2827865], [2830835, 2832035], [2845095, 2846670], [2855075, 2857075], [2957130, 2958705], [2961145, 2963445], [3087700, 3089700], [3090820, 3092245], [3092275, 3094250], [3114075, 3115300], [3130640, 3132115], [3139780, 3144080], [3147175, 3151075], [3155965, 3157115], [3158045, 3162995], [3193020, 3202420], [3250810, 3252735], [3310640, 3312140], [3320535, 3324535], [3337380, 3339005], [3343430, 3347705], [3368480, 3371555], [3407000, 3408000], [3424415, 3426815], [3430195, 3432570], [3476385, 3477560], [3479995, 3482845], [3519315, 3521515], [3536760, 3537760], [3564670, 3566170], [3890220, 3891695], [3973015, 3974240], [3994600, 3996375], [4002645, 4003795], [4094190, 4095340], [4132730, 4134505], [4319065, 4322065], [4327170, 4328745], [4355245, 4357220], [4612560, 4614860], [4615775, 4620125], [4631230, 4632880], [4649920, 4654770], [4925095, 4926170], [4926220, 4927745], [5044365, 5049040], [5072700, 5073750], [5079395, 5080395], [5105730, 5107405], [5192775, 5195625], [5444665, 5447490], [5507115, 5509390], [5528875, 5530100], [5592075, 5593550], [5613570, 5615220], [6143505, 6146280], [6232650, 6234650], [6321830, 6325030], [6327400, 6330700], [6494630, 6498930], [6532815, 6533815], [6611955, 6613030], [6649425, 6652000], [6659070, 6660170], [6699200, 6703050], [6740170, 6742395], [6776410, 6779160], [7015170, 7016445], [7097210, 7098935], [7191980, 7193355], [7229670, 7230720], [7466360, 7468060], [7582025, 7587300], [7611635, 7613835], [7686075, 7691625], [7781600, 7782725], [7815910, 7823010], [7839580, 7846030], [7872775, 7875250], [7927290, 7930190], [8039705, 8042880], [8148520, 8152395], [8206760, 8208960], [8233015, 8237990], [8398120, 8400270], [8408185, 8409160], [8441645, 8443220], [8465830, 8466980], [8498015, 8499515], [8499635, 8500910], [8535425, 8538150], [8604815, 8608240], [8636295, 8639995]]
XX.WCH.2008202000000.BHZ|[]
XX.SPA.2008204000000.BHZ|[[419560, 427035], [821265, 822565], [1309595, 1312845], [3223870, 3229795], [4902730, 4908505], [7066230, 7072030], [7089910, 7092885], [7106900, 7111950], [7629630, 7633905], [7660675, 7666225], [8461130, 8464480]]
XX.PWU.2008204000000.BHE|[[0, 2125], [81270, 83370], [108585, 114110], [190095, 191545], [228740, 230190], [253215, 254865], [418115, 434865], [448340, 449540], [507115, 509565], [539225, 540850], [550635, 552610], [568090, 571390], [586900, 589750], [656990, 658840], [753410, 755260], [790845, 792020], [807195, 808495], [818420, 825620], [826770, 829670], [871485, 876585], [917410, 918710], [949415, 951415], [1012460, 1015435], [1136865, 1138065], [1302285, 1304810], [1308880, 1316380], [1344870, 1348620], [1385485, 1386885], [1393400, 1396125], [1413605, 1415080], [1499520, 1503195], [1555495, 1558445], [1651270, 1654070], [1659890, 1662865], [1739720, 1743395], [1785135, 1787935], [1787980, 1789855], [2037050, 2038200], [2165830, 2169505], [2214865, 2221415], [2245610, 2248285], [2292820, 2293795], [2371875, 2375550], [2388850, 2394525], [2488170, 2489595], [2531085, 2533510], [2569895, 2574220], [2677150, 2679850], [2793000, 2798400], [2818355, 2821780], [2845030, 2852680], [2899775, 2901525], [2941180, 2944080], [2961880, 2962980], [2992870, 2998170], [3027705, 3029655], [3104845, 3106220], [3130235, 3133360], [3135395, 3139070], [3191855, 3194530], [3222455, 3233480], [3260475, 3264825], [3273515, 3274840], [3282905, 3285355], [3316830, 3320080], [3328125, 3335075], [3343395, 3346370], [3375605, 3378105], [3564355, 3567380], [3577360, 3580335], [3615835, 3619135], [3729585, 3732510], [3736710, 3737760], [3761360, 3762660], [3775120, 3776820], [3792370, 3793345], [3947420, 3952020], [3970670, 3972570], [3983515, 3985640], [4168305, 4173105], [4241480, 4242955], [4303635, 4304785], [4469800, 4474350], [4485465, 4490290], [4545340, 4548390], [4588355, 4591530], [4666255, 4668805], [4759310, 4762535], [4821365, 4826840], [4860280, 4861605], [4881640, 4882990], [4901310, 4913185], [4938125, 4941450], [5003320, 5004720], [5133245, 5137220], [5502325, 5507350], [5584965, 5586790], [5720040, 5725465], [5760315, 5761815], [5769000, 5770350], [6026935, 6030910], [6075905, 6081355], [6097165, 6098440], [6103490, 6106840], [6804620, 6806145], [6846950, 6848400], [6904365, 6906065], [6990420, 6991420], [7065775, 7074750], [7088425, 7096175], [7105510, 7114535], [7492060, 7493460], [7500670, 7506345], [7565060, 7566335], [7628840, 7638140], [7659225, 7676775], [7732595, 7734345], [7757585, 7760585], [7842545, 7846195], [7885200, 7890000], [7943935, 7945335], [7995445, 7998570], [8014030, 8017830], [8053275, 8055400], [8088055, 8089380], [8155710, 8159335], [8223800, 8229100], [8385775, 8388600], [8460460, 8467235], [8526460, 8527435], [8596775, 8599275], [8636835, 8638460]]
XX.QCH.2008203000000.BHZ|[[103015, 104840], [128595, 132995], [133745, 136595], [160185, 162210], [209490, 210615], [211335, 212385], [222000, 223400], [237700, 242575], [265070, 270145], [334295, 335820], [389075, 392075], [431285, 434160], [437640, 440890], [483280, 488630], [529835, 531235], [549905, 552630], [593235, 596785], [664155, 666030], [763460, 766560], [774810, 777785], [837600, 839475], [900780, 906230], [1076735, 1077785], [1138510, 1139835], [1272085, 1273135], [1345670, 1346870], [1416620, 1419470], [1461275, 1463125], [1554955, 1556030], [1573830, 1577355], [1587460, 1591085], [1607115, 1609840], [1636935, 1641810], [1666935, 1670085], [1699260, 1701060], [1840145, 1842070], [1842335, 1845985], [1955700, 1959475], [2007380, 2011255], [2042765, 2052765], [2102565, 2103690], [2108825, 2109825], [2112725, 2116575], [2155910, 2157535], [2161965, 2164090], [2237960, 2238935], [2259310, 2260785], [2262735, 2268710], [2318305, 2319630], [2341750, 2347600], [2387085, 2391535], [2445390, 2446990], [2492550, 2493525], [2621575, 2623050], [2673980, 2676705], [2710955, 2717755], [2741100, 2745925], [2772885, 2774485], [2794010, 2796710], [2826905, 2828705], [2855095, 2857320], [2961220, 2964945], [3090775, 3092400], [3130735, 3132535], [3139770, 3144870], [3147190, 3151015], [3158000, 3162750], [3193000, 3202300], [3320535, 3324185], [3343455, 3348405], [3369200, 3373100], [3377745, 3378895], [3406815, 3408640], [3423450, 3426800], [3430190, 3432215], [3476425, 3477650], [3479980, 3482905], [3520030, 3522580], [3544095, 3545245], [3564860, 3566335], [3653870, 3655170], [3890225, 3892225], [3973015, 3974565], [3993970, 3998220], [4131580, 4134230], [4307335, 4308485], [4319050, 4322400], [4327155, 4328830], [4588640, 4590765], [4612585, 4615535], [4615690, 4621465], [4630930, 4633005], [4649915, 4655465], [4889260, 4890260], [4925065, 4927415], [5044335, 5049135], [5072700, 5074100], [5105700, 5108075], [5192770, 5195795], [5444685, 5447910], [5507090, 5509940], [5528890, 5530940], [5554500, 5555875], [5592055, 5594630], [5611965, 5615190], [5777295, 5778370], [5778415, 5779415], [5926185, 5927210], [6094230, 6095255], [6143485, 6146960], [6232655, 6235255], [6321820, 6324795], [6327420, 6330595], [6491895, 6493295], [6494630, 6499280], [6611950, 6613700], [6649425, 6652400], [6659080, 6660530], [6699215, 6703115], [6737690, 6738890], [6740140, 6743140], [6776395, 6779095], [6794860, 6796135], [6977955, 6978955], [7097205, 7099880], [7191970, 7193720], [7199015, 7200065], [7229645, 7231245], [7340760, 7341785], [7466340, 7469265], [7497790, 7499215], [7582040, 7587190], [7611625, 7614600], [7670455, 7671580], [7683510, 7685035], [7686060, 7691860], [7704315, 7705365], [7715130, 7716180], [7781540, 7782940], [7815910, 7822460], [7839570, 7846720], [7872770, 7875745], [7926660, 7931085], [7982535, 7983860], [8039700, 8043400], [8148530, 8153280], [8186705, 8187880], [8206760, 8209410], [8233010, 8238435], [8297185, 8298435], [8306770, 8308470], [8398120, 8400720], [8406385, 8407535], [8536695, 8538695], [8604825, 8609525], [8636295, 8639995]]
XX.WCH.2008203000000.BHE|[]
XX.SPA.2008205000000.BHE|[[101905, 106330], [687705, 690930], [901235, 907110], [944720, 947245], [1368490, 1369865], [1806810, 1808735], [1852140, 1853690], [2311770, 2313895], [4177955, 4180655], [4414455, 4416780], [4498895, 4501345], [4805960, 4808460], [5617855, 5622005], [6087330, 6090405], [6304250, 6317075], [6376875, 6380475], [6559770, 6562495], [6585845, 6588045], [7147020, 7148345], [7171360, 7192360], [7192400, 7196700], [7196770, 7198520], [7213880, 7217855], [7253220, 7257645], [7352055, 7356380], [7507790, 7512090], [7541050, 7542075], [7737795, 7740945], [7839595, 7842170], [8096730, 8102080], [8539350, 8545550]]
XX.PWU.2008204000000.BHN|[[15, 2190], [81270, 83795], [108585, 114085], [190060, 191610], [228730, 230930], [253150, 255175], [418115, 434115], [448200, 449650], [455230, 456205], [507145, 509645], [539230, 541055], [550405, 553105], [568905, 570830], [586880, 589930], [656505, 658155], [753525, 755750], [790840, 792015], [807190, 808490], [818430, 824030], [824625, 825625], [826770, 830170], [871470, 876995], [917385, 918485], [949390, 951315], [1012380, 1015805], [1136895, 1138195], [1302285, 1304535], [1308900, 1316150], [1344875, 1348200], [1385490, 1386765], [1393405, 1396230], [1413840, 1415140], [1499500, 1503150], [1555530, 1558455], [1643130, 1644380], [1651270, 1654295], [1659875, 1662700], [1739725, 1743325], [1785105, 1790005], [1860655, 1861630], [2037120, 2038420], [2165835, 2169285], [2214865, 2221740], [2245255, 2249155], [2371865, 2375465], [2388825, 2393775], [2488305, 2490280], [2531085, 2533385], [2569900, 2574025], [2677635, 2679985], [2793005, 2797805], [2818350, 2821775], [2845035, 2853160], [2899620, 2901545], [2941185, 2943410], [2992870, 2998395], [3028295, 3029520], [3130245, 3133645], [3135420, 3139120], [3191855, 3194680], [3222465, 3231565], [3231595, 3233170], [3260485, 3264485], [3273520, 3274795], [3282950, 3286275], [3316830, 3320005], [3328125, 3335125], [3343395, 3346195], [3375655, 3377855], [3564365, 3566615], [3576555, 3579930], [3615835, 3619460], [3729585, 3732935], [3736790, 3737840], [3775095, 3777020], [3947450, 3952225], [3970675, 3972625], [3983500, 3985925], [4168300, 4173150], [4241435, 4242860], [4303620, 4304720], [4445405, 4446430], [4469800, 4474600], [4485490, 4490815], [4545325, 4548400], [4588355, 4591355], [4666665, 4668790], [4759310, 4762985], [4821370, 4827045], [4860210, 4861535], [4881670, 4882970], [4901310, 4913385], [4938125, 4941575], [5133260, 5137160], [5321115, 5322090], [5402560, 5403885], [5501015, 5502390], [5502430, 5507905], [5584970, 5587270], [5604655, 5605730], [5720040, 5725715], [5759890, 5762140], [5769030, 5770155], [6026920, 6030970], [6075920, 6081045], [6096940, 6098540], [6103490, 6107365], [6804610, 6806160], [6847170, 6849245], [6904370, 6906295], [6913470, 6914545], [6990085, 6992285], [7065770, 7075570], [7088430, 7095955], [7105510, 7114885], [7148145, 7149270], [7168080, 7169455], [7247535, 7248560], [7492090, 7493840], [7500695, 7506120], [7565215, 7566390], [7628835, 7638310], [7659225, 7669200], [7669240, 7676765], [7732615, 7734290], [7757595, 7760520], [7842540, 7846765], [7885225, 7889525], [7943940, 7945340], [7995470, 7998595], [8014045, 8017870], [8053300, 8055425], [8088060, 8089735], [8155700, 8159175], [8223805, 8227980], [8385800, 8388425], [8460450, 8467075], [8525865, 8527665], [8596780, 8599080], [8636870, 8638320]]
XX.QCH.2008204000000.BHE|[[81035, 82210], [108560, 112960], [188135, 190110], [229195, 230270], [417760, 433860], [506805, 508730], [567090, 569590], [753195, 754345], [817795, 823420], [864005, 865105], [871645, 875995], [1014585, 1015685], [1134915, 1136265], [1309815, 1316540], [1343860, 1347185], [1502325, 1503675], [1651075, 1652950], [1738705, 1741905], [2165320, 2167720], [2215470, 2220720], [2247725, 2249000], [2372105, 2374405], [2389735, 2393560], [2569690, 2573090], [2675675, 2678200], [2792830, 2796505], [2819120, 2821295], [2845380, 2851155], [2993620, 2997195], [3027355, 3028530], [3130505, 3132855], [3134450, 3138225], [3191795, 3192945], [3221410, 3231910], [3231955, 3234855], [3260430, 3263105], [3285145, 3286670], [3317670, 3319295], [3328965, 3333490], [3374775, 3376400], [3509630, 3510655], [3563445, 3565520], [3579085, 3580110], [3615050, 3618100], [3849680, 3850855], [3946190, 3947440], [3948600, 3950575], [4169040, 4171915], [4240100, 4241150], [4470485, 4473360], [4544360, 4546635], [4588245, 4590170], [4665455, 4667205], [4758920, 4761045], [4820320, 4825220], [4879515, 4881440], [4900340, 4912315], [4940470, 4942220], [5135895, 5137320], [5226815, 5227890], [5501380, 5506680], [5606735, 5607735], [5697455, 5698530], [5720715, 5723965], [5759860, 5761310], [6025860, 6029285], [6074950, 6079800], [6102650, 6106050], [6846760, 6848035], [6911750, 6913275], [6990055, 6991030], [7066605, 7075905], [7087880, 7094080], [7104475, 7114125], [7499735, 7502860], [7629605, 7637105], [7659430, 7675705], [7841465, 7845190], [7884850, 7888550], [7995365, 7997565], [8015490, 8017190], [8052725, 8053975], [8158180, 8159230], [8223445, 8227520], [8385280, 8386555], [8461355, 8466280], [8525380, 8526430], [8635285, 8637585]]
XX.WCH.2008203000000.BHN|[]
XX.SPA.2008205000000.BHN|[[102020, 105320], [688080, 690830], [901320, 907370], [945895, 947070], [4178560, 4180335], [4499445, 4501095], [5595360, 5596935], [5618325, 5621300], [6087305, 6090780], [6304260, 6313910], [6313945, 6316320], [6377150, 6380500], [6559885, 6562235], [6586035, 6587910], [7146990, 7148040], [7171400, 7196975], [7197015, 7199165], [7200380, 7201680], [7202215, 7203590], [7205970, 7207745], [7213865, 7217215], [7253225, 7257925], [7352060, 7357110], [7507820, 7512870], [7738295, 7740595], [7839900, 7841925], [8096770, 8102170], [8258685, 8259835], [8539465, 8545765]]
XX.PWU.2008204000000.BHZ|[[10, 1935], [81245, 83920], [108585, 114235], [228735, 230760], [253140, 254865], [418115, 434315], [454990, 456165], [507120, 509570], [539225, 540700], [550390, 553090], [568095, 570845], [586875, 589975], [656505, 658030], [753410, 755485], [790310, 792085], [807180, 808955], [818420, 823745], [824365, 825665], [826760, 829735], [871465, 876965], [917095, 918595], [949385, 950910], [1012295, 1015520], [1302275, 1304950], [1308930, 1316430], [1344860, 1348735], [1385480, 1386880], [1393400, 1396050], [1413585, 1415385], [1499465, 1503090], [1555465, 1558515], [1651270, 1654095], [1659845, 1662170], [1739730, 1743955], [1785115, 1789765], [1860375, 1861625], [2165830, 2169280], [2214860, 2221635], [2245220, 2247970], [2292785, 2293785], [2371850, 2375000], [2388840, 2393715], [2487545, 2490095], [2531060, 2532885], [2569895, 2573545], [2677530, 2679880], [2793000, 2798525], [2818375, 2821950], [2845030, 2852805], [2899620, 2901345], [2941160, 2943810], [2992885, 2998235], [3104835, 3106235], [3130235, 3133385], [3135395, 3139095], [3191855, 3194380], [3198245, 3200620], [3222455, 3234380], [3260450, 3264125], [3273505, 3275455], [3282245, 3285570], [3316830, 3319855], [3328115, 3334965], [3343370, 3346245], [3375585, 3377835], [3564370, 3566820], [3576420, 3579070], [3615810, 3619010], [3729555, 3732680], [3736545, 3738270], [3775100, 3777075], [3792365, 3793415], [3947045, 3952295], [3970645, 3972370], [3983485, 3985660], [4168275, 4173275], [4303630, 4305255], [4445345, 4446620], [4469775, 4474800], [4485485, 4490510], [4545305, 4548130], [4588365, 4591490], [4666260, 4668435], [4759285, 4763210], [4821355, 4826605], [4901310, 4912510], [4938090, 4942315], [5003225, 5004625], [5133220, 5137070], [5366505, 5367755], [5390930, 5392330], [5501010, 5502385], [5502420, 5507695], [5584965, 5587265], [5604635, 5605710], [5669430, 5670780], [5720015, 5725340], [5759895, 5762295], [6026910, 6030885], [6075910, 6081110], [6096665, 6098390], [6103490, 6107490], [6804620, 6806920], [6846950, 6849250], [6904340, 6906515], [6990080, 6992205], [6996560, 6997685], [7065785, 7075910], [7088425, 7096325], [7105510, 7113860], [7147960, 7149035], [7491340, 7494015], [7500670, 7506070], [7565200, 7566325], [7628805, 7637505], [7659220, 7676470], [7732515, 7734190], [7757585, 7760510], [7842545, 7846795], [7885200, 7890000], [7943935, 7945385], [7995445, 7998895], [8014035, 8017810], [8053285, 8055460], [8088065, 8089415], [8155675, 8159150], [8223800, 8228500], [8385775, 8388850], [8460355, 8467055], [8525850, 8527800], [8596775, 8599250], [8636245, 8638345]]
XX.QCH.2008204000000.BHN|[[108525, 112500], [188130, 190105], [417760, 433960], [567090, 569015], [789895, 790920], [817795, 822795], [871665, 875065], [1134805, 1135930], [1309820, 1314320], [1343860, 1346835], [1651085, 1652460], [1738725, 1741300], [2165300, 2167175], [2215480, 2219655], [2247645, 2248745], [2372280, 2374030], [2389750, 2393525], [2569695, 2572095], [2675665, 2677365], [2792810, 2796410], [2819805, 2821280], [2845340, 2850465], [2913905, 2914880], [2990960, 2992410], [2994460, 2997060], [3073465, 3075290], [3081385, 3082535], [3090410, 3091585], [3119700, 3120900], [3130385, 3132210], [3134445, 3138070], [3221415, 3231790], [3232480, 3234680], [3260425, 3262875], [3280075, 3281450], [3285180, 3286655], [3317965, 3319365], [3328980, 3333230], [3374780, 3376180], [3509420, 3510620], [3563315, 3565140], [3579090, 3580215], [3614925, 3617600], [3657185, 3658410], [3731685, 3732710], [3946265, 3947240], [3948595, 3949945], [4151660, 4152710], [4169180, 4172230], [4470490, 4472740], [4544340, 4545740], [4588540, 4589615], [4665455, 4666505], [4758925, 4760750], [4820315, 4822465], [4823050, 4824950], [4879520, 4880695], [4900340, 4911890], [4940415, 4941940], [5135925, 5137375], [5501385, 5505585], [5720730, 5723855], [6025860, 6028735], [6074945, 6079270], [6102620, 6105695], [6846765, 6847915], [7066630, 7073855], [7073900, 7075950], [7087880, 7094255], [7104475, 7113900], [7499755, 7502080], [7629640, 7637240], [7659435, 7668760], [7669225, 7674850], [7841465, 7844640], [7884830, 7887930], [7995650, 7996675], [8015880, 8017205], [8223470, 8226270], [8385275, 8386725], [8461390, 8466590], [8635305, 8637530]]
XX.WCH.2008203000000.BHZ|[]
XX.SPA.2008205000000.BHZ|[[101845, 104420], [901235, 906460], [6087275, 6090050], [6304250, 6314825], [6377025, 6379675], [6560480, 6561930], [7171350, 7192875], [7192925, 7194225], [7194475, 7196200], [7196690, 7197865], [7200535, 7201760], [7213870, 7215345], [7215855, 7217730], [7253225, 7254325], [7352035, 7356085], [7507790, 7512115], [7738700, 7739775], [7840485, 7841760], [8096745, 8100870], [8539430, 8544730]]
